Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
248;10;P20-011;O-S-HC;O-150-HC-RF;Plasmac / Goglio / Sy-Usa / Dakota;Plasmac / Goglio / Sy-Usa / Dakota;;2019-01;2019-01;PE-PP;150;64;;
249;75;P19-107;O-S-HC-V;O-150-HCV;KZPM;KZPM;;2020-01;2020-01;PE-PP;150;78;;
250;153;P21-008;O-S-HC-V;O-150-HCV-TB-RF-CE-400-3N;Plasmac / DNT;Plasmac / DNT;;2021-01;2021-01;PE-PP;150;78;;
251;202;P22-018;O-S-HC-V;O-150-HCV-TB-RF-HYD-CE-400-3N;Plasmac srl;Plasmac srl;;2022-01;2022-01;PE-PP;150;78;;
252;49;P19-008;O-M-HC;O-180-HC-HYD-V;Cagliplast;Cagliplast;;2019-01;2019-01;PE-PP;200;78;;
253;48;P19-007;O-M-HC;O-180-HC-TB-RF-MSC;Syncro USA / NORFLEX INC. - HUDSON;Syncro USA / NORFLEX INC. - HUDSON;;2019-01;2019-01;PE-PP;200;78;;
254;181;P21-049;O-M-HC;O180-HC-HF-MSC-CE-400-60-3N-NOSR;Alico;Alico;;2022-01;2022-01;PE-PP;200;78;;
255;289;P23-016;O-M-HC;O-180-HC-V-SF-MSC-CE-400/50;Syncro INDIA;Syncro INDIA;;2023-01;2023-01;PE-PP;200;78;;
256;207;P22-054;O-M-HC;O-200-HC-RF-HF-V-ASC-CE-4003N-NOSR;Plasmac / K2022 / AL HELAL;Plasmac / K2022 / AL HELAL;;2022-01;2022-01;PE-PP;200;78;;
257;53;P19-023;O-L-HC;O-250-HC-MSC-V;Goglio;Goglio;;2019-01;2019-01;PE-PP;250;98;;
258;114;P20-039;O-L-HC;O-250-HC-HF-RF-V-MCF-B&R-CE-4003N-NOSR;Plasmac - Uk Extrusion - Talos - MARPAK;Plasmac - Uk Extrusion - Talos - MARPAK;;2020-01;2020-01;PE-PP;250;98;;
259;143;P19-100;O-L-HC;O-250-HC-HF-V-HYD-CE-4003N;Iskra;Iskra;;2021-01;2021-01;PE-PP;250;98;;
260;68;P19-031;O-XS-HC;O-70-HC-V;Balcan;Balcan;;2020-01;2020-01;PE-PP;120;61;;
261;108;P21-017;O-XS-HC;O-70-HC-HF-MSC;Lordsmint SYNCRO srl - venduta a GOGLIO;Lordsmint SYNCRO srl - venduta a GOGLIO;;2021-01;2021-01;PE-PP;120;61;;
262;96;P20-027;O-XS-AC;O-ECO-AC;Shini;Shini;;2020-01;2020-01;PE-PP;120;60;;
263;106;P20-031;O-XS-AC;O-ECO-AC;Syncplas (AV Packaging);Syncplas (AV Packaging);;2020-01;2020-01;PE-PP;120;60;;
264;121;P20-042;O-XS-AC;O-ECO-AC-HF-RF-0-MCF-B&R-CE-4003N-NOSR;PAXXO;PAXXO;;2021-01;2021-01;PE-PP;120;60;;
265;87;P20-012;O-XS-AC;O-ECO-AC-TB;Barbier;Barbier;;2020-01;2020-01;PE-PP;120;60;;
266;25;P19-052;O-XS-HC;O-ECO-HC;Syncro USA / NORFLEX INC. - HUDSON;Syncro USA / NORFLEX INC. - HUDSON;;2019-01;2019-01;PE-PP;120;61;;
267;142;P21-022;O-XS-HC;O-ECO-HC-HF-0-MSC-CE-400/50-3N;ALNET;ALNET;;2021-01;2021-01;PE-PP;120;61;;
268;167;P21-042;O-XS-HC;O-ECO-HC-HF-0-MSC-CE-400/50-3N;A.M. PLASTICS AUTOMATION / Limatolla;A.M. PLASTICS AUTOMATION / Limatolla;;2022-01;2022-01;PE-PP;120;61;;
269;133;P21-013;O-XS-HC;O-ECO-HC-HF-RF-0-MCF-B&R-CE-480/60-3N-NOSR;Syncro USA / Polar Plastics;Syncro USA / Polar Plastics;;2021-01;2021-01;PE-PP;120;61;;
270;235;P22-034;O-XS-HC;O-ECO-HC-RF-V-HYD-B&R-CE-4003N-NOSR;LIPM / JASPLASTIK;LIPM / JASPLASTIK;;2022-01;2022-01;PE-PP;120;61;;
271;74;P19-053;O-XS-HC-V;O-ECO-HCV;Syncro USA / MidWest PolyPak;Syncro USA / MidWest PolyPak;;2020-01;2020-01;PE-PP;120;70;;
272;201;P22-014;O-XS-HC;O-ECO-HC-V-RF-MCF-CE-400-3N-NOSR;Tema Italia (ex Plasmac srl);Tema Italia (ex Plasmac srl);;2023-01;2023-01;PE-PP;120;61;;
273;224;P22-015;O-XS-HC;O-ECO-HC-V-RF-MCF-CE-400-3N-NOSR;TERDEX GMBH (ex Plasmac);TERDEX GMBH (ex Plasmac);;2022-01;2022-01;PE-PP;120;61;;
274;312;P23-034;O-L-HC;O-L-HC-MSC-CE-480V-60Hz-3-NOAB;TINFLEX SRL;TINFLEX SRL;;2023-01;2023-01;PE-PP;250;98;;
275;250;P22-049;O-L-HC;O-L-HC-V-HYD-CE-400/50-3N-NOSR;DNT NON WOVEN FABRICS S.A.;DNT NON WOVEN FABRICS S.A.;;2022-01;2022-01;PE-PP;250;98;;
276;251;P22-050;O-L-HC;O-L-HC-V-HYD-CE-400/50-3N-NOSR;Plasmac;Plasmac;;2022-01;2022-01;PE-PP;250;98;;
277;205;P22-013;O-L-HC;O-L-HC-V-MSC-CE-480/60-3N-NOSR;Syncro USA / Trico;Syncro USA / Trico;;2022-01;2022-01;PE-PP;250;98;;
278;335;P24-020;O-L-HC-V;O-L-HCV-MSC-RF-CE-440/60-3-NOAB;PROTERMO;PROTERMO;;2024-01;2024-01;PE-PP;250;124;;
279;314;P23-035;O-M-HC;O-M-HC-HYD-CE-400V-50Hz-3N-NOAB;CROTTI;CROTTI;;2024-01;2024-01;PE-PP;200;78;;
280;299;P23-023;O-M-HC;O-M-HC-V-ASC-CE-380/60-3N-NOSR;PIC (SAMDONG);PIC (SAMDONG);;2023-01;2023-01;PE-PP;200;78;;
281;249;P22-051;O-M-HC;O-M-HC-V-ASC-CE-400/50-3N-NOSR;Plasmac;Plasmac;;2022-01;2022-01;PE-PP;200;78;;
282;290;P23-009;O-M-HC;O-M-HC-V-ASC-CE-400/50-3N-NOSR;FLEXO S.A. (EX PLASMAC);FLEXO S.A. (EX PLASMAC);;2023-01;2023-01;PE-PP;200;78;;
283;282;P22-065;O-M-HC;O-M-HC-V-MSC-CE-400/50-3N-NOSR;DANAFILMS;DANAFILMS;;2023-01;2023-01;PE-PP;200;78;;
284;98;P20-026;O-PLUS-HC;O-PLUS;Polifilm Extrusion  ;Polifilm Extrusion  ;;2020-01;2020-01;PE-PP;400;213;;
285;136;P21-003;O-PLUS-HC;O-PLUS;Emtelle;Emtelle;;2021-01;2021-01;PE-PP;400;213;;
286;232;P22-036;O-PLUS-HC;O-PLUS-HC-RF-V-HYD-B&R-CE-4003N-NOSR;AMCZ / DRIGA;AMCZ / DRIGA;;2022-01;2022-01;PE-PP;400;213;;
287;292;P23-021;O-PLUS-HC;O-PLUS-HC-RF-V-HYD-CE--NOSR;SAMDONG INDUSTRIAL Co. ,Ltd;SAMDONG INDUSTRIAL Co. ,Ltd;;2023-01;2023-01;PE-PP;400;213;;
288;288;P23-014;O-S-HC;O-S-HC-V-EL-MSC-UL-480/60;Tema North America;Tema North America;;2023-01;2023-01;PE-PP;150;64;;
289;246;P22-046;O-S-HC;O-S-HC-V-MSC-CE-400/50-3N;PLASMAC SRL;PLASMAC SRL;;2022-01;2022-01;PE-PP;150;64;;
290;194;P22-003;O-XS-HC;O-XS-HC-0-0-MSC-CE-400/50-3N;Granger;Granger;;2024-01;2024-01;PE-PP;120;61;;
291;247;P22-047;O-XS-HC;O-XS-HC-RF-MSC-CE-400/50-3N;PLASMAC SRL;PLASMAC SRL;;2022-01;2022-01;PE-PP;120;61;;
292;193;P22-042;O-XS-HC;O-XS-HC-TB-RF-MSC-CE-4003N-NOSR;Trioworld Bottnaryd;Trioworld Bottnaryd;;2022-01;2022-01;PE-PP;120;61;;
